# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 120
0.528634 0.296795 0.231679 -0.375197 -0.893904 0.245282 0.853289 -0.229700 0.468120 -0.362113 0.384934 0.848941 0.543226 0.300087 0.223735 -0.123770 -0.979224 0.160630 -0.693396 0.201142 0.691913 0.709847 0.025742 0.703885 
0.781688 0.252360 0.021228 0.832521 -0.322189 0.450669 0.118984 0.898497 0.422547 -0.541065 -0.298157 0.786353 0.781688 0.252360 0.021228 0.832521 -0.322189 0.450669 0.118984 0.898497 0.422547 -0.541065 -0.298157 0.786353 
0.837503 0.128358 0.021582 0.075405 -0.822266 0.564086 -0.028491 0.563689 0.825496 -0.996746 -0.078318 0.019078 0.837503 0.128358 0.021582 0.075405 -0.822266 0.564086 -0.028491 0.563689 0.825496 -0.996746 -0.078318 0.019078 
0.897269 0.506204 -0.145978 0.218406 0.612916 0.759364 -0.972613 0.200124 0.118211 -0.079514 -0.764385 0.639838 0.897269 0.506204 -0.145978 0.218406 0.612916 0.759364 -0.972613 0.200124 0.118211 -0.079514 -0.764385 0.639838 
0.904862 0.598171 0.376683 0.627232 -0.283468 0.725414 -0.553529 -0.817478 0.159167 -0.547891 0.501373 0.669657 0.904862 0.598171 0.376683 0.627232 -0.283468 0.725414 -0.553529 -0.817478 0.159167 -0.547891 0.501373 0.669657 
0.456686 0.275609 -0.020613 -0.143909 -0.192479 0.970691 -0.515427 0.851925 0.092515 0.844763 0.487007 0.221809 0.456686 0.275609 -0.020613 -0.143909 -0.192479 0.970691 -0.515427 0.851925 0.092515 0.844763 0.487007 0.221809 
0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 0.801904 0.275277 0.530257 -0.014938 -0.878014 0.478402 0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 0.801904 0.275277 0.530257 -0.014938 -0.878014 0.478402 
0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 0.801904 0.275277 0.530257 -0.014938 -0.878014 0.478402 0.633460 0.005895 -0.380018 -0.597266 0.391553 0.699971 0.801904 0.275277 0.530257 -0.014938 -0.878014 0.478402 
0.499632 0.120508 0.031241 0.143860 -0.796929 0.586692 0.979887 0.197567 0.028091 -0.138297 0.570851 0.809323 0.499632 0.120508 0.031241 0.143860 -0.796929 0.586692 0.979887 0.197567 0.028091 -0.138297 0.570851 0.809323 
0.911600 0.598568 0.103086 -0.764445 0.609114 0.211197 -0.556493 -0.788846 0.260841 0.325484 0.081869 0.941997 0.750390 0.404259 0.062573 -0.782025 0.603015 0.157512 -0.531569 -0.777280 0.336557 0.325380 0.179468 0.928396 
