#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2 sigmah ecc
#         206
 130.523 233.309 126.403  4.1979e+11 130.726 233.566 126.542  2.3447e+12  -0.290   0.097   0.242   0.319   0.146   63.5  0.875
 134.670  76.835 103.812  2.9493e+12 134.464  76.610 104.166  4.2804e+12  -0.192  -0.033  -0.132   0.400   0.302    0.0  0.976
 135.635  54.809   5.257  2.9417e+11 135.528  55.047   5.652  2.3046e+12   0.266  -0.215   0.202   0.000   0.000   45.9  0.863
 136.320  72.423 146.985  2.2900e+11 135.935  72.376 147.159  2.2560e+12   0.227  -0.031   0.495   0.058   0.039   63.0  0.920
 136.396 205.509   3.042  2.6118e+12 136.406 205.137   2.648  2.8903e+11  -0.286   0.025  -0.030   0.045   0.065   50.9  0.953
 139.104 235.197 176.437  9.2724e+11 139.189 235.419 176.708  2.7561e+11  -0.042   0.125  -0.088   0.124   0.080    0.0  0.964
 139.872 164.083 192.490  2.3760e+12 140.195 163.969 192.851  2.2466e+11   0.398   0.005  -0.356   0.135   0.117   48.3  0.910
 140.362 183.305 131.718  1.3008e+11 140.598 183.031 131.884  7.9201e+11   0.066   0.238   0.298   0.069   0.102    0.0  0.993
 141.402 197.741 163.334  6.1409e+11 141.548 197.411 163.150  2.0870e+12   0.380  -0.153   0.574   0.292   0.377   56.2  0.868
 141.548 197.411 163.150  2.0870e+12 141.402 197.741 163.334  6.1409e+11   0.380  -0.153   0.574   0.433   0.331   55.9  0.795
 142.330 180.315 224.313  1.8886e+12 142.606 180.430 224.735  1.6504e+11  -0.349   0.208   0.171   0.134   0.157   57.5  0.932
 142.762 191.262  10.283  5.5149e+11 142.600 191.251  10.563  1.0596e+12  -0.092  -0.182  -0.061   0.317   0.324    0.0  0.757
 145.495 151.329   3.273  7.1044e+11 145.762 151.222   3.542  3.0407e+11  -0.100   0.129   0.150   0.272   0.227   42.9  0.936
 145.609 125.873  66.792  1.3217e+12 146.024 126.158  66.958  9.8185e+11   0.277  -0.326  -0.131   0.006   0.025   44.9  0.961
 146.024 126.158  66.958  9.8185e+11 145.609 125.873  66.792  1.3217e+12   0.277  -0.326  -0.131   0.110   0.045   44.2  0.909
 146.275  36.679  19.441  1.3732e+12 146.536  36.392  19.171  1.0691e+11   0.034   0.004   0.029   0.020   0.035   39.4  0.995
 146.536  36.392  19.171  1.0691e+11 146.275  36.679  19.441  1.3732e+12   0.034   0.004   0.029   0.165   0.116   33.8  0.871
 147.534  95.467 224.682  3.1985e+12 148.030  95.541 224.603  1.1285e+12   0.039  -0.173   0.084   0.276   0.261    0.0  0.937
 148.108 154.563  31.311  2.4543e+12 148.412 154.779  31.646  3.8943e+11  -0.336   0.018   0.294   0.043   0.051   67.6  0.853
 150.081  35.232  88.837  8.6721e+10 150.095  35.172  88.473  2.6618e+12  -0.349   0.046  -0.021   0.186   0.112   55.0  0.888
 151.156  53.603  79.920  7.3930e+11 151.381  53.562  80.403  1.9556e+12  -0.178   0.347   0.112   0.087   0.079   68.2  0.810
 152.079 181.296  35.468  7.6626e+11 152.279 181.159  35.754  5.3252e+10   0.018  -0.365  -0.187   0.154   0.106   41.7  0.958
 152.647  78.792  42.651  2.4756e+11 152.866  78.723  43.021  2.2426e+11  -0.311   0.106   0.204   0.046   0.052    0.0  1.366
 153.556 135.435  70.176  5.7372e+11 153.919 135.707  70.078  8.2778e+11  -0.060   0.093   0.036   0.000   0.000   48.1  0.987
 155.753 122.394 170.997  1.2283e+12 155.564 122.832 171.080  5.0840e+11   0.023   0.041  -0.163   0.049   0.055   63.8  0.981
 157.985   2.196  26.535  2.4866e+12 157.723   2.087  26.864  1.1125e+11   0.290  -0.373   0.107   0.169   0.219   66.0  0.811
 158.068 226.852 226.980  8.5719e+11 158.323 226.643 227.305  2.2927e+11   0.484  -0.179  -0.495   0.157   0.169   34.5  0.860
 158.575 219.982 165.732  1.3262e+12 158.700 219.770 166.092  2.9808e+12  -0.148   0.057   0.085   0.050   0.033    0.0  0.935
 159.525  38.644  22.410  4.5745e+11 159.712  39.002  22.497  2.1856e+11  -0.406   0.129   0.339   0.054   0.060   48.8  0.974
 164.517 243.471  31.626  1.9817e+12 164.797 243.381  31.921  1.3801e+12   0.181  -0.168  -0.223   0.107   0.114    0.0  0.937
 165.157  69.421 158.595  5.1843e+11 165.462  69.492 158.301  1.4348e+12  -0.041   0.086  -0.021   0.187   0.133   45.1  0.914
 165.462  69.492 158.301  1.4348e+12 165.157  69.421 158.595  5.1843e+11  -0.041   0.086  -0.021   0.187   0.266   44.6  0.938
 165.931 187.440 122.212  1.7886e+11 165.453 187.449 122.359  3.6220e+11  -0.066   0.161  -0.224   0.295   0.306   31.7  1.061
 166.645 211.140  40.822  1.1300e+12 166.982 210.795  41.075  6.6559e+11  -0.267  -0.390  -0.175   0.073   0.078   40.4  0.976
 169.111 219.746   0.534  1.5636e+12 169.505 219.498   0.320  2.3469e+12   0.230   0.218   0.170   0.147   0.185   53.6  0.941
 169.499 167.903  50.039  4.0176e+11 169.602 168.243  50.421  1.2426e+12  -0.314  -0.091   0.165   0.184   0.114   61.8  0.879
 169.505 227.840  29.946  4.5384e+12 169.604 227.447  30.174  1.7642e+11   0.229   0.109   0.089   0.132   0.187   67.4  0.996
 171.384  90.421  63.921  1.7493e+11 171.244  90.792  64.110  9.6911e+11  -0.330  -0.086  -0.076   0.117   0.143   37.1  0.969
 171.534  20.813   6.080  1.1556e+12 171.933  20.577   5.907  1.0524e+12   0.351  -0.057   0.884   0.248   0.226   64.0  0.757
 171.933  20.577   5.907  1.0524e+12 171.534  20.813   6.080  1.1556e+12   0.351  -0.057   0.884   0.101   0.122   67.4  0.860
 172.619 148.301  79.211  2.9539e+11 173.073 148.046  79.377  8.8943e+11   0.022   0.017  -0.035   0.244   0.201   43.5  0.947
 173.073 148.046  79.377  8.8943e+11 172.619 148.301  79.211  2.9539e+11   0.022   0.017  -0.035   0.232   0.291   39.5  0.928
 173.544 111.959 157.400  9.4106e+11 173.820 111.835 157.673  4.6667e+11  -0.122   0.144   0.189   0.308   0.254   67.0  0.957
 175.402 143.254  48.218  4.2073e+11 175.211 143.658  48.463  8.1437e+10   0.202   0.206  -0.183   0.180   0.176   61.4  1.880
 175.742 171.117 143.771  4.7100e+11 176.026 171.181 143.780  2.3542e+12  -0.051   0.285  -0.381   0.443   0.286    0.0  0.832
 177.404 173.171 173.654  1.2359e+12 177.584 172.764 173.709  4.3239e+11   0.244   0.128   0.151   0.000   0.000    0.0  0.913
 177.654  81.454  12.753  2.0894e+11 177.324  81.251  12.809  1.1267e+12   0.027  -0.014   0.108   0.025   0.083    0.0  0.968
 178.488 210.499 247.334  3.0190e+11 178.654 210.258 247.640  1.4716e+11   0.300   0.291   0.067   0.144   0.153   31.3  2.049
 178.831  34.661  23.548  1.6206e+11 179.119  34.790  23.826  1.6180e+12  -0.208   0.227   0.110   0.151   0.127   38.6  0.875
 179.942 230.878  28.949  3.5637e+11 179.915 230.540  29.099  1.8203e+12   0.167   0.059   0.163   0.329   0.394   52.2  0.995
 182.077  38.938 109.191  8.9065e+11 182.302  38.700 109.494  2.9146e+11   0.167   0.194   0.028   0.023   0.037   54.7  0.937
 184.671 245.656 122.137  6.5949e+11 184.793 245.765 122.473  1.6890e+12  -0.172   0.142   0.017   0.122   0.199    0.0  0.984
 185.322  65.823 218.735  1.7331e+11 185.133  66.279 218.837  4.2539e+12  -0.388  -0.248   0.388   0.317   0.224   55.1  0.849
 185.755  69.390 240.909  1.2930e+12 185.381  69.152 241.208  1.5627e+12   0.322  -0.262   0.192   0.020   0.033   59.0  0.923
 186.632 205.816  24.240  1.5068e+12 186.734 205.907  24.704  5.8388e+11   0.090  -0.180   0.015   0.088   0.074   42.0  0.962
 189.161  83.552 245.071  7.7805e+11 189.080  83.083 245.402  9.7738e+11  -0.137   0.106   0.117   0.021   0.031   51.8  0.909
 191.033  26.237 195.717  3.5989e+11 190.970  25.957 195.965  1.2164e+12  -0.273   0.143   0.092   0.148   0.168    0.0  0.955
 191.333 204.846 114.256  7.8347e+11 191.228 204.413 114.158  1.7304e+11   0.140  -0.030  -0.016   0.014   0.016   49.4  0.975
 191.437 209.408 162.152  9.5028e+11 191.638 209.546 162.632  9.3930e+11   0.352   0.153  -0.192   0.049   0.069   60.6  0.918
 192.453  45.374 140.872  9.5204e+11 192.042  45.323 141.143  5.0962e+11   0.074   0.049   0.120   0.162   0.175   37.3  0.966
 193.343  93.448 199.352  1.2795e+12 192.881  93.635 199.100  2.4350e+12  -0.080  -0.334  -0.101   0.037   0.046   69.0  0.856
 194.148   9.148  14.986  9.6396e+11 193.958   9.323  15.229  9.0109e+10  -0.026  -0.277   0.180   0.132   0.134    0.0  0.838
 194.943 175.837 234.546  2.0501e+11 195.256 175.664 234.299  1.3175e+12  -0.229   0.143  -0.391   0.232   0.166   55.7  0.980
 195.307 172.833 207.302  4.8428e+11 195.373 172.492 207.526  9.4336e+11   0.347   0.185   0.179   0.587   0.587   65.8  0.855
 195.542  74.500 137.740  3.5054e+11 195.926  74.255 137.870  1.4856e+12  -0.077   0.139   0.491   0.095   0.062   64.5  0.849
 197.241 239.568 214.413  2.0743e+12 197.440 239.940 214.664  3.9526e+11   0.024   0.282  -0.437   0.281   0.334    0.0  0.882
 197.543  98.936  64.272  1.4278e+12 197.480  98.593  64.049  1.3054e+12   0.057  -0.274   0.405   0.406   0.412   67.9  0.857
 198.051  51.672  16.177  1.3674e+12 198.230  51.324  16.297  3.5068e+11  -0.390  -0.017   0.529   0.172   0.194   49.5  0.799
 198.316 217.200  26.113  1.9549e+12 198.442 217.592  26.270  9.0515e+10  -0.036  -0.069   0.201   0.096   0.070   57.6  0.856
 199.774 160.731 147.862  1.1470e+12 199.666 160.808 148.260  9.3632e+10  -0.016  -0.258   0.046   0.637   0.526   43.7  0.887
 200.165   4.777 220.625  1.3000e+12 200.615   4.848 220.644  6.3049e+11  -0.031   0.263  -0.243   0.033   0.027   67.2  0.907
 201.547 154.768  49.350  2.8957e+12 201.933 154.327  49.439  2.9445e+11   0.163   0.234   0.452   0.097   0.091   55.4  0.855
 202.139  67.404 176.387  1.1202e+12 202.170  67.265 176.781  4.3117e+11  -0.417   0.097   0.067   0.082   0.114    0.0  0.855
 208.562 133.069 120.528  1.4890e+12 208.130 132.849 120.623  2.6245e+12  -0.127   0.139  -0.252   0.266   0.310   65.2  0.840
 209.255  40.491  78.313  3.7277e+11 208.956  40.545  78.721  1.1921e+12   0.214   0.207   0.130   0.000   0.000   62.3  0.899
 210.031  73.161 141.803  5.2778e+11 209.932  73.375 141.955  6.1464e+11  -0.408  -0.215   0.037   0.400   0.266   61.2  0.991
 210.164  18.168  76.958  3.1558e+11 210.068  18.600  76.877  2.5668e+12  -0.186  -0.033   0.042   0.273   0.133   50.8  0.869
 216.363  54.767 241.245  1.7989e+12 216.422  55.132 241.420  6.2290e+11   0.087   0.060  -0.154   0.170   0.126   69.5  0.867
 217.067 112.223  43.051  5.4960e+11 217.092 112.061  43.322  9.7182e+11  -0.230   0.035   0.041   0.341   0.326   43.1  0.989
 217.720  26.459 175.322  4.2670e+11 217.558  26.333 175.061  1.1245e+12   0.243  -0.006  -0.148   0.463   0.553    0.0  0.971
 219.459   8.960  41.821  8.3225e+11 219.557   8.660  41.812  7.4011e+11   0.127   0.039   0.088   0.138   0.180   52.1  0.959
 220.251  81.921 154.644  1.0230e+11 220.486  81.842 155.084  1.3698e+12  -0.138  -0.267   0.026   0.374   0.351   43.7  0.973
 223.098  99.585  15.837  3.1951e+11 222.888  99.679  16.103  8.9472e+11  -0.066  -0.094  -0.019   0.227   0.352   61.7  0.962
