# eigen3_x eigen3_y eigen3_z x1 y1 z1 x2 y2 z2 nx ny nz
0.866055 0.183395 0.465097 31.063000 24.117000 94.691000 30.658000 23.987000 94.471000 0.370000 -0.286000 -0.512000
0.348884 0.072366 0.934368 31.369000 84.744000 189.484000 31.397000 84.904000 189.790000 -0.320000 -0.282000 0.177000
-0.284178 0.910583 0.300137 31.933000 174.444000 45.741000 32.633000 173.541000 45.698000 0.575000 0.475000 -0.628000
0.244683 0.092682 0.965163 31.999000 105.019000 10.932000 32.024000 105.205000 10.465000 0.472000 -0.286000 -0.089000
0.235937 0.071536 0.969132 32.024000 105.205000 10.465000 31.999000 105.019000 10.932000 0.472000 -0.286000 -0.089000
-0.393194 -0.912330 0.114244 32.069000 50.911000 212.637000 32.335000 51.600000 212.574000 -0.249000 0.057000 -0.431000
-0.954784 -0.297079 0.011463 32.425000 44.207000 73.142000 31.840000 44.080000 73.139000 0.034000 -0.148000 -0.249000
0.868163 -0.051710 0.493578 32.830000 20.754000 178.612000 33.558000 20.926000 179.057000 0.370000 0.434000 -0.773000
-0.473751 0.060485 0.878579 32.862000 39.191000 119.102000 32.976000 39.134000 118.808000 -0.383000 0.743000 -0.291000
-0.395814 -0.325582 0.858678 33.073000 43.109000 50.900000 32.839000 43.014000 51.193000 -0.047000 -0.602000 -0.233000
0.365816 0.897202 0.247400 33.141000 247.254000 38.499000 32.916000 247.005000 38.220000 0.461000 -0.066000 -0.312000
0.063717 -0.106971 0.992218 33.514000 216.224000 25.394000 33.804000 216.291000 25.790000 0.165000 -0.631000 -0.014000
-0.173408 -0.853008 0.492247 34.778000 16.057000 108.797000 34.837000 16.388000 108.558000 -0.820000 -0.156000 -0.417000
-0.173408 -0.853008 0.492247 34.837000 16.388000 108.558000 34.778000 16.057000 108.797000 -0.820000 -0.156000 -0.417000
0.085496 0.780980 0.618677 35.269000 242.643000 94.797000 35.332000 243.020000 95.053000 0.316000 -0.408000 0.523000
0.275608 -0.633306 0.723162 35.598000 64.316000 139.628000 35.753000 63.921000 140.011000 -0.044000 0.206000 0.230000
