#x1 y1 z1 m1 x2 y2 z2 m2 nx ny nz disp1 disp2
#        5520
   5.573  13.838  46.263  2.3459e+12   4.534  12.710  46.869  3.6359e+12   0.242  -0.014   0.389   1.312   0.041
   5.608  35.654 172.922  5.6152e+11   5.544  35.977 172.493  3.2222e+11  -0.449   0.580   0.505   0.000   0.000
   5.614 242.878  68.511  5.6979e+11   5.689 242.870  68.883  5.0136e+10  -0.163   0.341   0.040   0.080   0.089
   5.652  63.638 161.721  2.7568e+12   5.790  63.332 162.145  5.4960e+11   0.346   0.795   0.462   0.358   0.275
   5.663 172.036  36.900  2.9553e+11   6.099 172.385  36.959  2.6030e+11  -0.460   0.611  -0.215   0.047   0.044
   5.665   1.509  64.951  3.0664e+11   5.235   1.503  64.523  3.3835e+11   0.004  -0.727   0.006   0.154   0.129
   5.747 174.195  54.288  2.4756e+11   5.901 174.516  54.027  4.2222e+11  -0.389  -0.108  -0.361   0.188   0.190
   5.756 182.530   1.307  3.6912e+12   5.898 182.572   1.845  8.0637e+11   0.041   0.284  -0.033   0.042   0.060
   5.769 155.762 129.103  4.7832e+11   5.805 155.332 129.013  9.0786e+10   0.224   0.023  -0.019   0.255   0.311
   5.813  55.003 147.470  7.5840e+11   6.322  55.241 147.540  5.4431e+11  -0.155   0.369  -0.123   0.000   0.000
   5.815  11.431 193.871  1.4268e+12   5.536  11.992 193.351  1.2214e+12   0.031   0.335   0.345   0.163   0.163
   5.901 174.516  54.027  4.2222e+11   5.747 174.195  54.288  2.4756e+11  -0.389  -0.108  -0.361   0.062   0.061
   5.956 116.728 150.890  4.8239e+10   5.839 116.849 151.184  1.3374e+11  -0.080   0.030  -0.044   0.408   0.340
   6.002 155.128 215.538  2.7520e+11   5.666 155.264 215.704  5.0000e+10  -0.213  -0.597   0.058   0.153   0.187
   6.135 129.596   3.047  2.3362e+12   6.113 129.794   2.589  7.0027e+11   0.014  -0.180  -0.079   0.142   0.169
   6.152 228.555 198.675  7.2819e+11   6.185 228.885 198.619  3.7236e+11   0.005   0.135   0.804   0.254   0.211
   6.262  78.983 104.201  1.4692e+12   6.695  78.803 104.609  3.2724e+11   0.377   0.722  -0.081   0.022   0.035
   6.316  14.119 185.785  2.5474e+11   6.173  13.937 186.146  7.1952e+10   0.481  -0.137   0.121   0.039   0.038
   6.322  55.241 147.540  5.4431e+11   5.813  55.003 147.470  7.5840e+11  -0.155   0.369  -0.123   0.649   0.621
   6.352  99.397  38.366  1.8008e+11   6.282  99.323  38.768  4.6342e+10   0.125  -0.585  -0.087   0.069   0.067
   6.401  67.523 193.469  2.3058e+12   6.471  67.577 193.878  1.0673e+12  -0.023   0.065  -0.005   0.122   0.102
   6.461 202.708  39.892  1.3355e+12   6.550 202.227  39.974  1.3482e+11  -0.210  -0.167  -0.747   0.061   0.032
   6.563 165.111 106.018  1.6233e+11   6.215 164.933 106.171  1.8415e+11   0.233  -0.703  -0.288   0.091   0.097
   6.573 178.343  31.134  5.6369e+11   7.052 178.234  31.678  7.1044e+11   0.395  -0.630  -0.473   0.125   0.087
