# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen2_xA eigen2_yA eigen2_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen2_xB eigen2_yB eigen2_zB eigen3_xB eigen3_yB eigen3_zB 
# 5481
1.555818 1.214142 -0.635598 0.176384 -0.856631 0.484843 0.895620 0.344015 0.281990 -0.408355 0.384496 0.827894 1.555818 1.214142 -0.635598 0.176384 -0.856631 0.484843 0.895620 0.344015 0.281990 -0.408355 0.384496 0.827894 
2.406398 2.029591 0.839276 -0.031068 0.811037 0.584169 -0.195160 -0.578125 0.792266 0.980279 -0.089392 0.176243 2.406398 2.029591 0.839276 -0.031068 0.811037 0.584169 -0.195160 -0.578125 0.792266 0.980279 -0.089392 0.176243 
3.811122 3.205173 -2.460204 0.804978 0.448999 0.387829 0.318931 -0.878668 0.355282 -0.500294 0.162304 0.850508 3.811122 3.205173 -2.460204 0.804978 0.448999 0.387829 0.318931 -0.878668 0.355282 -0.500294 0.162304 0.850508 
0.571272 0.408432 -0.918639 -0.667219 -0.157678 0.727981 0.584357 0.495246 0.642852 0.461893 -0.854324 0.238297 0.876128 0.602727 -1.327024 -0.631108 -0.239349 0.737845 0.545188 0.539773 0.641417 0.551791 -0.807067 0.210165 
2.729449 1.266040 0.595591 -0.682841 0.004311 0.730554 0.673864 -0.382548 0.632111 0.282197 0.923926 0.258315 2.729449 1.266040 0.595591 -0.682841 0.004311 0.730554 0.673864 -0.382548 0.632111 0.282197 0.923926 0.258315 
3.811122 3.205173 -2.460204 0.804978 0.448999 0.387829 0.318931 -0.878668 0.355282 -0.500294 0.162304 0.850508 3.811122 3.205173 -2.460204 0.804978 0.448999 0.387829 0.318931 -0.878668 0.355282 -0.500294 0.162304 0.850508 
0.254942 -0.067206 -0.323862 -0.729997 -0.672064 0.124236 0.012496 0.168623 0.985601 0.683336 -0.721039 0.114696 0.254942 -0.067206 -0.323862 -0.729997 -0.672064 0.124236 0.012496 0.168623 0.985601 0.683336 -0.721039 0.114696 
0.111415 -0.005922 -0.221827 -0.881724 0.300320 0.363827 0.427665 0.834398 0.347683 0.199160 -0.462156 0.864145 0.111415 -0.005922 -0.221827 -0.881724 0.300320 0.363827 0.427665 0.834398 0.347683 0.199160 -0.462156 0.864145 
0.349670 0.063243 -0.477700 -0.524952 0.838064 0.148575 0.130335 -0.093350 0.987066 -0.841094 -0.537526 0.060225 0.318317 0.042852 -0.412504 -0.534132 0.837109 0.118118 0.106633 -0.071891 0.991696 -0.838649 -0.542292 0.050864 
9.016700 4.873816 2.372060 -0.857656 -0.269699 0.437823 0.408453 0.159955 0.898655 0.312398 -0.949567 0.027027 7.209496 4.708108 3.159519 -0.941050 -0.177123 0.288187 0.329289 -0.284700 0.900286 -0.077414 0.942111 0.326242 
0.385627 -0.246420 -0.324516 -0.283276 -0.354412 0.891149 0.958790 -0.125804 0.254745 0.021826 0.926588 0.375444 0.385627 -0.246420 -0.324516 -0.283276 -0.354412 0.891149 0.958790 -0.125804 0.254745 0.021826 0.926588 0.375444 
0.876128 0.602727 -1.327024 -0.631108 -0.239349 0.737845 0.545188 0.539773 0.641417 0.551791 -0.807067 0.210165 0.571272 0.408432 -0.918639 -0.667219 -0.157678 0.727981 0.584357 0.495246 0.642852 0.461893 -0.854324 0.238297 
0.336632 0.072635 -0.220133 -0.340745 0.696580 0.631402 0.173320 -0.613540 0.770408 0.924042 0.371947 0.088330 0.408513 0.116435 -0.345595 -0.351140 0.772108 0.529669 -0.075094 -0.587091 0.806030 0.933307 0.243254 0.264132 
5.757671 5.119001 3.357664 -0.960253 0.110949 0.256134 0.234337 0.818991 0.523774 0.151659 -0.562977 0.812438 6.604124 5.872308 4.774181 -0.907841 0.291254 0.301653 0.418490 0.674423 0.608292 0.026274 -0.678472 0.734156 
2.966887 2.523327 1.090075 0.792317 0.447361 0.414852 0.296275 -0.876529 0.379365 -0.533343 0.177667 0.827031 2.983197 2.887778 1.591958 0.695145 -0.582989 0.420592 0.512968 0.812168 0.277935 -0.503624 0.022545 0.863629 
1.666987 1.200571 0.531947 -0.781112 0.376759 0.497913 -0.287842 -0.924926 0.248311 0.554086 0.050638 0.830918 1.779589 1.227841 0.692608 -0.824197 0.405484 0.395325 -0.312598 -0.907848 0.279455 0.472209 0.106748 0.874999 
2.975770 1.815243 1.235882 -0.091104 -0.275309 0.957029 -0.247092 0.937222 0.246089 0.964700 0.214054 0.153411 2.922038 1.513906 1.138608 0.050219 -0.235814 0.970500 0.175039 0.958764 0.223905 -0.983280 0.158631 0.089425 
1.120256 0.354584 -0.774968 -0.811597 0.003254 0.584208 0.515326 0.475080 0.713259 0.275225 -0.879937 0.387250 1.138255 0.319074 -0.765986 -0.661066 0.148408 0.735504 0.729489 0.356534 0.583720 0.175604 -0.922420 0.343955 
0.725958 0.217280 -0.184821 -0.940592 0.339257 0.013803 -0.272866 -0.779465 0.563895 0.202065 0.526629 0.825731 0.814547 0.116935 -0.236163 -0.977529 0.195113 0.079796 -0.085194 -0.711915 0.697079 0.192817 0.674617 0.712540 
0.290599 -0.147910 -0.251069 -0.805435 0.091907 0.585514 0.365336 -0.700913 0.612577 0.466694 0.707301 0.530963 0.290599 -0.147910 -0.251069 -0.805435 0.091907 0.585514 0.365336 -0.700913 0.612577 0.466694 0.707301 0.530963 
0.616207 0.064673 -0.599858 -0.852486 -0.519370 0.059347 -0.285507 0.557688 0.779403 0.437896 -0.647486 0.623705 0.435508 0.011897 -0.538556 0.766621 0.640779 0.041176 -0.459050 0.502107 0.732913 0.448960 -0.580768 0.679075 
0.318317 0.042852 -0.412504 -0.534132 0.837109 0.118118 0.106633 -0.071891 0.991696 -0.838649 -0.542292 0.050864 0.349670 0.063243 -0.477700 -0.524952 0.838064 0.148575 0.130335 -0.093350 0.987066 -0.841094 -0.537526 0.060225 
0.814547 0.116935 -0.236163 -0.977529 0.195113 0.079796 -0.085194 -0.711915 0.697079 0.192817 0.674617 0.712540 0.725958 0.217280 -0.184821 -0.940592 0.339257 0.013803 -0.272866 -0.779465 0.563895 0.202065 0.526629 0.825731 
