# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB
# 122
0.675071 0.557136 -0.006772 -0.042977 -0.860230 0.508091 0.675071 0.557136 -0.006772 -0.042977 -0.860230 0.508091 
0.768509 0.317834 -0.158830 0.672085 -0.574515 0.467156 0.898201 0.212677 -0.226740 0.639336 -0.677522 0.363611 
0.457294 0.428178 -0.414555 0.010454 -0.751618 0.659516 0.469244 0.443742 -0.387513 0.507854 -0.823866 0.251653 
0.955267 0.589912 -0.235263 -0.901137 0.188169 0.390569 0.970681 0.660660 -0.217845 -0.927477 0.312899 0.204646 
0.764828 0.211578 -0.385185 0.026812 -0.579887 0.814255 0.754394 0.198426 -0.445009 0.042556 -0.498870 0.865631 
0.484090 0.097219 -0.038533 0.497402 -0.434297 0.750985 0.438136 -0.018783 -0.044108 0.523005 -0.371290 0.767209 
0.924874 0.402494 0.283192 0.372932 0.610205 0.698980 0.924874 0.402494 0.283192 0.372932 0.610205 0.698980 
0.690494 0.281797 0.077449 0.282014 -0.874690 0.394190 0.690494 0.281797 0.077449 0.282014 -0.874690 0.394190 
1.540883 0.873289 0.588013 -0.248207 -0.564611 0.787152 1.540883 0.873289 0.588013 -0.248207 -0.564611 0.787152 
1.199085 0.758185 0.360771 -0.659314 -0.542464 0.520613 1.199085 0.758185 0.360771 -0.659314 -0.542464 0.520613 
0.363616 0.234058 -0.005976 -0.220832 0.840446 0.494857 0.376146 0.297933 0.135531 -0.360015 0.728974 0.582225 
0.875151 0.229847 0.099760 0.652453 -0.259825 0.711896 0.875151 0.229847 0.099760 0.652453 -0.259825 0.711896 
0.631480 0.140603 0.017539 -0.551487 -0.825059 0.123039 0.573811 0.140777 -0.047118 -0.606690 -0.788413 0.101645 
0.914798 0.486530 -0.550614 0.173010 -0.080106 0.981657 0.592070 0.259225 -0.376496 0.341973 0.230033 0.911120 
