# lambda_1A lambda_2A lambda_3A eigen1_xA eigen1_yA eigen1_zA eigen3_xA eigen3_yA eigen3_zA# lambda_1B lambda_2B lambda_3B eigen1_xB eigen1_yB eigen1_zB eigen3_xB eigen3_yB eigen3_zB 
# 122
2.800435 1.829095 1.027994 -0.741070 -0.243872 0.625573 0.389435 0.602855 0.696352 2.800435 1.829095 1.027994 -0.741070 -0.243872 0.625573 0.389435 0.602855 0.696352 
2.078831 1.866836 0.999709 -0.561773 0.763481 0.318601 0.713662 0.252443 0.653421 2.078831 1.866836 0.999709 -0.561773 0.763481 0.318601 0.713662 0.252443 0.653421 
1.815523 1.351877 1.266647 0.605379 -0.643860 0.467932 -0.794789 -0.520566 0.311963 1.874983 1.291090 1.118309 0.651261 -0.660240 0.374089 -0.757008 -0.599612 0.259623 
1.321208 1.218165 0.267798 0.159392 -0.753214 0.638171 0.581207 0.594128 0.556067 1.334890 1.268939 0.397212 -0.682404 0.730153 0.034665 0.629280 0.562675 0.536100 
2.243998 1.486414 0.727449 -0.758403 -0.028335 0.651170 0.418701 0.744474 0.520046 2.189368 1.588308 0.659646 -0.748447 -0.058653 0.660596 0.346493 0.814739 0.464911 
1.578187 0.977221 0.629501 0.008413 -0.605049 0.796144 0.179775 0.784115 0.594007 1.290233 0.901537 0.388961 0.077139 -0.428353 0.900313 0.222346 0.887653 0.403279 
1.448510 0.939197 0.842918 0.625560 -0.552775 0.550559 0.629595 0.774431 0.062184 1.200367 0.752148 0.447858 0.551276 -0.498742 0.668843 -0.704677 0.150860 0.693305 
2.291523 2.116282 1.773745 -0.478801 0.839092 0.258215 0.086294 -0.247714 0.964982 2.291523 2.116282 1.773745 -0.478801 0.839092 0.258215 0.086294 -0.247714 0.964982 
2.118969 1.801690 1.260153 0.212349 -0.832454 0.511789 0.628609 0.517353 0.580686 2.118969 1.801690 1.260153 0.212349 -0.832454 0.511789 0.628609 0.517353 0.580686 
3.982075 2.844490 2.328817 -0.119110 -0.540998 0.832547 -0.082263 0.841010 0.534728 3.673857 3.043740 2.434321 -0.310594 -0.476289 0.822606 -0.318228 0.867570 0.382169 
3.441842 2.563441 2.298472 -0.526130 -0.512998 0.678248 0.651648 0.269234 0.709132 3.142871 2.700518 2.374052 -0.186938 -0.662691 0.725186 0.295270 0.666162 0.684868 
1.396038 1.203322 0.524780 -0.124775 0.990162 0.063324 0.954371 0.102322 0.280547 1.801059 1.642853 1.086841 -0.649601 0.560023 0.514192 0.708638 0.201001 0.676336 
1.544947 0.849961 0.465712 0.799436 -0.312904 0.512829 0.354957 0.934728 0.016994 1.608269 0.949310 0.793903 0.621178 -0.504757 0.599464 0.500735 0.844073 0.191848 
1.643414 1.213548 0.996031 -0.450044 -0.776879 0.440363 -0.089359 0.529827 0.843385 1.356177 1.090034 0.580009 -0.584689 -0.782144 0.215380 -0.077546 0.318157 0.944861 
1.873509 1.351603 0.696974 0.092858 -0.271292 0.958007 -0.975509 0.167899 0.142101 1.258266 0.998515 0.224181 0.367746 0.275585 0.888153 -0.918170 -0.043785 0.393761 
